SCHOOL,STATE,CITY,NOC,PROGRAM,TYPE,DEPARTMENT,DELIVERY,Credits,PREREQ,LINK,LOC_LAT,LOC_LONG,COUNTRY,TEACHING,INTERNATIONAL,RESEARCH,INCOME,TOTAL_SCORE,NUM_STUDENTS,STUDENT_STAFF_RATIO,INTERNATIONAL_STUDENTS,YEAR
Bellevue University,Nebraska,Bellevue,2,Master of Science-Business Analytics,M,College of Science and Technology,Online,36,Not Available,http://www.bellevue.edu/degrees/master/innovation-entrepreneurship-mps/#,41.1502,-95.9176,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.67,17%,2013
Benedictine University,Illinois,Lisle,1,Master of Science in Business Analytics,M,College of Business,Campus,64,Not Available,http://www.ben.edu/academic_programs/majorsheets/upload/MSBA_2013.pdf,41.7764,-88.0959,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",12.39,17%,2013
Bentley University,Massachusetts,Waltham,9,Graduate Certificate in Marketing Analytics,C,Graduate School of Business,Campus,15,Not Available,http://www.bentley.edu/graduate/admission-financial-aid/tuition-financial-aid,42.3888,-71.2201,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.93,17%,2013
Bentley University,Massachusetts,Waltham,9,Emerging Leaders MBA - Business Analytics,M,Graduate School of Business,Campus,55,Not Available,http://www.bentley.edu/graduate/concentrations/business-analytics,42.3888,-71.2201,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.93,17%,2013
Bentley University,Massachusetts,Waltham,9,Emerging Leaders MBA - Information Systems and Technology,M,Graduate School of Business,Campus,55,Not Available,http://www.bentley.edu/graduate/admission-financial-aid/application-process,42.3888,-71.2201,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.93,17%,2013
Bentley University,Massachusetts,Waltham,9,Graduate Certificate in Business Analytics,C,Graduate School of Business,Campus,12,Not Available,http://www.bentley.edu/graduate/mba-programs/elmba/curriculum,42.3888,-71.2201,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.93,17%,2013
Bentley University,Massachusetts,Waltham,9,Master of Business Analytics,M,Graduate School of Business,Campus,33,Not Available,http://www.bentley.edu/graduate/concentrations/information-systems-technology,42.3888,-71.2201,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.93,17%,2013
Bentley University,Massachusetts,Waltham,9,Master of Science In Marketing Analytics,M,Graduate School of Business,Campus,33,Not Available,http://www.bentley.edu/graduate/admission-financial-aid/application-process,42.3888,-71.2201,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.93,17%,2013
Bentley University,Massachusetts,Waltham,9,Masters of Information Technology,M,Graduate School of Business,Campus,39,Not Available,http://www.bentley.edu/graduate/mba-programs/elmba/curriculum,42.3888,-71.2201,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.93,17%,2013
Bentley University,Massachusetts,Waltham,9,Part-Time Professional MBA - Business Analytics,M,Graduate School of Business,Campus,45,Not Available,http://www.bentley.edu/graduate/admission-financial-aid/tuition-financial-aid,42.3888,-71.2201,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.93,17%,2013
Bentley University,Massachusetts,Waltham,9,Part-Time Professional MBA - Information Systems and Technology,M,Graduate School of Business,Campus,45,Not Available,http://www.bentley.edu/graduate/special-programs/graduate-certificate-programs,42.3888,-71.2201,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.93,17%,2013
Boston University,Massachusetts,Boston,6,Applied Business Analytics Graduate Certificate,C,Department of Administrative Sciences,"Online or 
Campus",16,Not Available,http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/,42.3496,-71.0998,United States of America,57.8,51,49.5,30.3,66.1,"24,789",10.93,17%,2016
Boston University,Massachusetts,Boston,6,Applied Business Analytics Graduate Certificate,C,Department of Administrative Sciences,"Online or 
Campus",16,Not Available,http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/,42.3496,-71.0998,United States of America,53.6,38.1,51.9,29.6,64,"24,789",10.93,17%,2011
Boston University,Massachusetts,Boston,6,Applied Business Analytics Graduate Certificate,C,Department of Administrative Sciences,"Online or 
Campus",16,Not Available,http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/,42.3496,-71.0998,United States of America,56.5,44.2,46.1,31.1,63.5,"24,789",10.93,17%,2014
Boston University,Massachusetts,Boston,6,Applied Business Analytics Graduate Certificate,C,Department of Administrative Sciences,"Online or 
Campus",16,Not Available,http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/,42.3496,-71.0998,United States of America,65.4,39.2,50.9,30.6,66.8,"24,789",10.93,17%,2013
Boston University,Massachusetts,Boston,6,Applied Business Analytics Graduate Certificate,C,Department of Administrative Sciences,"Online or 
Campus",16,Not Available,http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/,42.3496,-71.0998,United States of America,60.7,37.2,46.2,27.6,64.2,"24,789",10.93,17%,2012
Boston University,Massachusetts,Boston,6,Applied Business Analytics Graduate Certificate,C,Department of Administrative Sciences,"Online or 
Campus",16,Not Available,http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/,42.3496,-71.0998,United States of America,56.4,47.8,46.7,30.3,63.6,"24,789",10.93,17%,2015
Boston University,Massachusetts,Boston,6,MS in Statistical Practice,M,College of Arts & Sciences,Campus,32,Not Available,http://www.bu.edu/met/admissions/apply-now/certificate-programs/,42.3496,-71.0998,United States of America,57.8,51,49.5,30.3,66.1,"24,789",10.93,17%,2016
Boston University,Massachusetts,Boston,6,MS in Statistical Practice,M,College of Arts & Sciences,Campus,32,Not Available,http://www.bu.edu/met/admissions/apply-now/certificate-programs/,42.3496,-71.0998,United States of America,53.6,38.1,51.9,29.6,64,"24,789",10.93,17%,2011
Boston University,Massachusetts,Boston,6,MS in Statistical Practice,M,College of Arts & Sciences,Campus,32,Not Available,http://www.bu.edu/met/admissions/apply-now/certificate-programs/,42.3496,-71.0998,United States of America,56.5,44.2,46.1,31.1,63.5,"24,789",10.93,17%,2014
Boston University,Massachusetts,Boston,6,MS in Statistical Practice,M,College of Arts & Sciences,Campus,32,Not Available,http://www.bu.edu/met/admissions/apply-now/certificate-programs/,42.3496,-71.0998,United States of America,65.4,39.2,50.9,30.6,66.8,"24,789",10.93,17%,2013
Boston University,Massachusetts,Boston,6,MS in Statistical Practice,M,College of Arts & Sciences,Campus,32,Not Available,http://www.bu.edu/met/admissions/apply-now/certificate-programs/,42.3496,-71.0998,United States of America,60.7,37.2,46.2,27.6,64.2,"24,789",10.93,17%,2012
Boston University,Massachusetts,Boston,6,MS in Statistical Practice,M,College of Arts & Sciences,Campus,32,Not Available,http://www.bu.edu/met/admissions/apply-now/certificate-programs/,42.3496,-71.0998,United States of America,56.4,47.8,46.7,30.3,63.6,"24,789",10.93,17%,2015
Boston University,Massachusetts,Boston,6,Master of Science in Computer Science - Data Analytics Concentration,M,Department of Administrative Sciences,Campus,40,Not Available,http://www.bu.edu/met/programs/graduate/data-analytics-certificate/,42.3496,-71.0998,United States of America,57.8,51,49.5,30.3,66.1,"24,789",10.93,17%,2016
Boston University,Massachusetts,Boston,6,Master of Science in Computer Science - Data Analytics Concentration,M,Department of Administrative Sciences,Campus,40,Not Available,http://www.bu.edu/met/programs/graduate/data-analytics-certificate/,42.3496,-71.0998,United States of America,53.6,38.1,51.9,29.6,64,"24,789",10.93,17%,2011
Boston University,Massachusetts,Boston,6,Master of Science in Computer Science - Data Analytics Concentration,M,Department of Administrative Sciences,Campus,40,Not Available,http://www.bu.edu/met/programs/graduate/data-analytics-certificate/,42.3496,-71.0998,United States of America,56.5,44.2,46.1,31.1,63.5,"24,789",10.93,17%,2014
Boston University,Massachusetts,Boston,6,Master of Science in Computer Science - Data Analytics Concentration,M,Department of Administrative Sciences,Campus,40,Not Available,http://www.bu.edu/met/programs/graduate/data-analytics-certificate/,42.3496,-71.0998,United States of America,65.4,39.2,50.9,30.6,66.8,"24,789",10.93,17%,2013
Boston University,Massachusetts,Boston,6,Master of Science in Computer Science - Data Analytics Concentration,M,Department of Administrative Sciences,Campus,40,Not Available,http://www.bu.edu/met/programs/graduate/data-analytics-certificate/,42.3496,-71.0998,United States of America,60.7,37.2,46.2,27.6,64.2,"24,789",10.93,17%,2012
Boston University,Massachusetts,Boston,6,Master of Science in Computer Science - Data Analytics Concentration,M,Department of Administrative Sciences,Campus,40,Not Available,http://www.bu.edu/met/programs/graduate/data-analytics-certificate/,42.3496,-71.0998,United States of America,56.4,47.8,46.7,30.3,63.6,"24,789",10.93,17%,2015
Boston University,Massachusetts,Boston,6,Master of Science in Computer Information Systems - Data Analytics Concentration,M,Department of Administrative Sciences,"Online or 
Campus",40,Not Available,http://www.bu.edu/met/admissions/tuition-and-fees/,42.3496,-71.0998,United States of America,57.8,51,49.5,30.3,66.1,"24,789",10.93,17%,2016
Boston University,Massachusetts,Boston,6,Master of Science in Computer Information Systems - Data Analytics Concentration,M,Department of Administrative Sciences,"Online or 
Campus",40,Not Available,http://www.bu.edu/met/admissions/tuition-and-fees/,42.3496,-71.0998,United States of America,53.6,38.1,51.9,29.6,64,"24,789",10.93,17%,2011
Boston University,Massachusetts,Boston,6,Master of Science in Computer Information Systems - Data Analytics Concentration,M,Department of Administrative Sciences,"Online or 
Campus",40,Not Available,http://www.bu.edu/met/admissions/tuition-and-fees/,42.3496,-71.0998,United States of America,56.5,44.2,46.1,31.1,63.5,"24,789",10.93,17%,2014
Boston University,Massachusetts,Boston,6,Master of Science in Computer Information Systems - Data Analytics Concentration,M,Department of Administrative Sciences,"Online or 
Campus",40,Not Available,http://www.bu.edu/met/admissions/tuition-and-fees/,42.3496,-71.0998,United States of America,65.4,39.2,50.9,30.6,66.8,"24,789",10.93,17%,2013
Boston University,Massachusetts,Boston,6,Master of Science in Computer Information Systems - Data Analytics Concentration,M,Department of Administrative Sciences,"Online or 
Campus",40,Not Available,http://www.bu.edu/met/admissions/tuition-and-fees/,42.3496,-71.0998,United States of America,60.7,37.2,46.2,27.6,64.2,"24,789",10.93,17%,2012
Boston University,Massachusetts,Boston,6,Master of Science in Computer Information Systems - Data Analytics Concentration,M,Department of Administrative Sciences,"Online or 
Campus",40,Not Available,http://www.bu.edu/met/admissions/tuition-and-fees/,42.3496,-71.0998,United States of America,56.4,47.8,46.7,30.3,63.6,"24,789",10.93,17%,2015
Boston University,Massachusetts,Boston,6,Data Analytics Graduate Certificate,C,Department of Administrative Sciences,"Online or 
Campus",16,Not Available,http://www.bu.edu/met/admissions/apply-now/certificate-programs/,42.3496,-71.0998,United States of America,57.8,51,49.5,30.3,66.1,"24,789",10.93,17%,2016
Boston University,Massachusetts,Boston,6,Data Analytics Graduate Certificate,C,Department of Administrative Sciences,"Online or 
Campus",16,Not Available,http://www.bu.edu/met/admissions/apply-now/certificate-programs/,42.3496,-71.0998,United States of America,53.6,38.1,51.9,29.6,64,"24,789",10.93,17%,2011
Boston University,Massachusetts,Boston,6,Data Analytics Graduate Certificate,C,Department of Administrative Sciences,"Online or 
Campus",16,Not Available,http://www.bu.edu/met/admissions/apply-now/certificate-programs/,42.3496,-71.0998,United States of America,56.5,44.2,46.1,31.1,63.5,"24,789",10.93,17%,2014
Boston University,Massachusetts,Boston,6,Data Analytics Graduate Certificate,C,Department of Administrative Sciences,"Online or 
Campus",16,Not Available,http://www.bu.edu/met/admissions/apply-now/certificate-programs/,42.3496,-71.0998,United States of America,65.4,39.2,50.9,30.6,66.8,"24,789",10.93,17%,2013
Boston University,Massachusetts,Boston,6,Data Analytics Graduate Certificate,C,Department of Administrative Sciences,"Online or 
Campus",16,Not Available,http://www.bu.edu/met/admissions/apply-now/certificate-programs/,42.3496,-71.0998,United States of America,60.7,37.2,46.2,27.6,64.2,"24,789",10.93,17%,2012
Boston University,Massachusetts,Boston,6,Data Analytics Graduate Certificate,C,Department of Administrative Sciences,"Online or 
Campus",16,Not Available,http://www.bu.edu/met/admissions/apply-now/certificate-programs/,42.3496,-71.0998,United States of America,56.4,47.8,46.7,30.3,63.6,"24,789",10.93,17%,2015
Boston University,Massachusetts,Boston,6,Master of Science in Applied Business Analytics Management,M,Metropolitan College,Online,48,Not Available,http://www.bu.edu/met/courses/graduate/analytics/,42.3496,-71.0998,United States of America,57.8,51,49.5,30.3,66.1,"24,789",10.93,17%,2016
Boston University,Massachusetts,Boston,6,Master of Science in Applied Business Analytics Management,M,Metropolitan College,Online,48,Not Available,http://www.bu.edu/met/courses/graduate/analytics/,42.3496,-71.0998,United States of America,53.6,38.1,51.9,29.6,64,"24,789",10.93,17%,2011
Boston University,Massachusetts,Boston,6,Master of Science in Applied Business Analytics Management,M,Metropolitan College,Online,48,Not Available,http://www.bu.edu/met/courses/graduate/analytics/,42.3496,-71.0998,United States of America,56.5,44.2,46.1,31.1,63.5,"24,789",10.93,17%,2014
Boston University,Massachusetts,Boston,6,Master of Science in Applied Business Analytics Management,M,Metropolitan College,Online,48,Not Available,http://www.bu.edu/met/courses/graduate/analytics/,42.3496,-71.0998,United States of America,65.4,39.2,50.9,30.6,66.8,"24,789",10.93,17%,2013
Boston University,Massachusetts,Boston,6,Master of Science in Applied Business Analytics Management,M,Metropolitan College,Online,48,Not Available,http://www.bu.edu/met/courses/graduate/analytics/,42.3496,-71.0998,United States of America,60.7,37.2,46.2,27.6,64.2,"24,789",10.93,17%,2012
Boston University,Massachusetts,Boston,6,Master of Science in Applied Business Analytics Management,M,Metropolitan College,Online,48,Not Available,http://www.bu.edu/met/courses/graduate/analytics/,42.3496,-71.0998,United States of America,56.4,47.8,46.7,30.3,63.6,"24,789",10.93,17%,2015
Bowling Green State University,Ohio,Bowling Green,2,M.S. in Analytics,M,Graduate College,Campus,33,Not Available,http://www.bgsu.edu/graduate/analytics.html,41.377,-83.6375,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",12.92,17%,2013
Bowling Green State University,Ohio,Bowling Green,2,Master of Science in Applied Statistics (specialization in Business Analytics),M,Department of Applied Statistics & Operations Research/Department of Mathematics,Campus,33,Not Available,http://www.bgsu.edu/graduate/analytics.html,41.377,-83.6375,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",12.92,17%,2013
Brandeis University,Massachusetts,Waltham,2,Master of Arts in Computational Linguistics,M,Mitchom School of Computer Science,Campus,36,Not Available,https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html,42.3649,-71.2547,United States of America,27.3,45.3,27.9,37.4,67.6,"5,495",10.93,22%,2013
Brandeis University,Massachusetts,Waltham,2,Master of Arts in Computational Linguistics,M,Mitchom School of Computer Science,Campus,36,Not Available,https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html,42.3649,-71.2547,United States of America,28.3,47,25.7,38.6,49.9,"5,495",10.93,22%,2016
Brandeis University,Massachusetts,Waltham,2,Master of Arts in Computational Linguistics,M,Mitchom School of Computer Science,Campus,36,Not Available,https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html,42.3649,-71.2547,United States of America,25.3,40.3,27.3,33.7,46.7,"5,495",10.93,22%,2012
Brandeis University,Massachusetts,Waltham,2,Master of Arts in Computational Linguistics,M,Mitchom School of Computer Science,Campus,36,Not Available,https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html,42.3649,-71.2547,United States of America,28.8,50.6,24.3,36.8,46.6,"5,495",10.93,22%,2014
Brandeis University,Massachusetts,Waltham,2,Master of Arts in Computational Linguistics,M,Mitchom School of Computer Science,Campus,36,Not Available,https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html,42.3649,-71.2547,United States of America,25.8,54.7,29.1,43.9,50.3,"5,495",10.93,22%,2015
Brandeis University,Massachusetts,Waltham,2,M.S. in Strategic Analytics,M,Graduate Professional Studies,Online,30,Not Available,https://www.brandeis.edu/gps/future-students/learn-about-our-programs/strategic-analytics.html,42.3649,-71.2547,United States of America,27.3,45.3,27.9,37.4,67.6,"5,495",10.93,22%,2013
Brandeis University,Massachusetts,Waltham,2,M.S. in Strategic Analytics,M,Graduate Professional Studies,Online,30,Not Available,https://www.brandeis.edu/gps/future-students/learn-about-our-programs/strategic-analytics.html,42.3649,-71.2547,United States of America,28.3,47,25.7,38.6,49.9,"5,495",10.93,22%,2016
Brandeis University,Massachusetts,Waltham,2,M.S. in Strategic Analytics,M,Graduate Professional Studies,Online,30,Not Available,https://www.brandeis.edu/gps/future-students/learn-about-our-programs/strategic-analytics.html,42.3649,-71.2547,United States of America,25.3,40.3,27.3,33.7,46.7,"5,495",10.93,22%,2012
Brandeis University,Massachusetts,Waltham,2,M.S. in Strategic Analytics,M,Graduate Professional Studies,Online,30,Not Available,https://www.brandeis.edu/gps/future-students/learn-about-our-programs/strategic-analytics.html,42.3649,-71.2547,United States of America,28.8,50.6,24.3,36.8,46.6,"5,495",10.93,22%,2014
Brandeis University,Massachusetts,Waltham,2,M.S. in Strategic Analytics,M,Graduate Professional Studies,Online,30,Not Available,https://www.brandeis.edu/gps/future-students/learn-about-our-programs/strategic-analytics.html,42.3649,-71.2547,United States of America,25.8,54.7,29.1,43.9,50.3,"5,495",10.93,22%,2015
California State University-East Bay,California,Hayward,1,Master of Science in Business Administration: Business Analytics Option,M,College of Business and Economics,Campus,45,computer science,http://www20.csueastbay.edu/cbe/msba/index.html,37.6571,-122.058,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.48,17%,2013
California State University-Fullerton,California,Fullerton,3,Certificate in Data Science,C,University Extended Education,Online,15,technical bachelor's degree,http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science,33.8836,-117.885,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.48,17%,2013
California State University-Fullerton,California,Fullerton,3,Certificate in Health Care Analytics,C,University Extended Education,Campus,9,Not Available,http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science,33.8836,-117.885,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.48,17%,2013
California State University-Fullerton,California,Fullerton,3,Master of Science in Information Systems and Decision Sciences,M,Mihaylo College of Business and Economics,Campus,30,Not Available,http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science,33.8836,-117.885,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.48,17%,2013
California State University-Long Beach,California,Long Beach,1,Master of Science in Applied Statistics,M,Department of Mathematics and Statistics,Campus,30,"math, statistics",http://www.csulb.edu/divisions/aa/catalog/current/cnsm/mathematics/mathms05.html,33.7828,-118.112,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.48,17%,2013
California State University-San Bernardino,California,San Bernardino,1,Master of Business Administration (M.B.A.) - Business Intelligence and Information Technology Focus,M,College of Business and Public Administration,Campus,60,Not Available,http://bulletin.csusb.edu/colleges-schools-departments/business-public-administration/mba/,34.183,-117.323,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.48,17%,2013
Capella University,Minnesota,Minneapolis,3,Graduate Certificate in Business Intelligence,C,School of Business and Technology,Online,15,Not Available,http://www.capella.edu/online-degrees/certificate-business-intelligence/,44.9762,-93.2687,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",11.56,17%,2013
Capella University,Minnesota,Minneapolis,3,Master of Science in Analytics,M,School of Business and Technology,Online,48,technical bachelor's degree,http://www.capella.edu/online-degrees/certificate-business-intelligence/admission-requirements/,44.9762,-93.2687,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",11.56,17%,2013
Capella University,Minnesota,Minneapolis,3,MBA in Business Intelligence,M,School of Business & Technology,Online,48,Not Available,http://www.capella.edu/online-degrees/certificate-business-intelligence/courses/,44.9762,-93.2687,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",11.56,17%,2013
Carnegie Mellon University,Pennsylvania,Pittsburgh,4,"Master of Science in Information Technology, Business Intelligence and Data Analytics (MSIT-BIDA)",M,Heinz College,"Online or 
Campus",30,computer science,http://mcds.cs.cmu.edu/learn-us-curriculum,40.4446,-79.9429,United States of America,63.1,58.1,77.4,52.5,76,"11,885",11.92,35%,2014
Carnegie Mellon University,Pennsylvania,Pittsburgh,4,"Master of Science in Information Technology, Business Intelligence and Data Analytics (MSIT-BIDA)",M,Heinz College,"Online or 
Campus",30,computer science,http://mcds.cs.cmu.edu/learn-us-curriculum,40.4446,-79.9429,United States of America,67.4,57.1,88.8,57.5,82.3,"11,885",11.92,35%,2016
Carnegie Mellon University,Pennsylvania,Pittsburgh,4,"Master of Science in Information Technology, Business Intelligence and Data Analytics (MSIT-BIDA)",M,Heinz College,"Online or 
Campus",30,computer science,http://mcds.cs.cmu.edu/learn-us-curriculum,40.4446,-79.9429,United States of America,61.6,59.3,74.9,53,74.3,"11,885",11.92,35%,2015
Carnegie Mellon University,Pennsylvania,Pittsburgh,4,"Master of Science in Information Technology, Business Intelligence and Data Analytics (MSIT-BIDA)",M,Heinz College,"Online or 
Campus",30,computer science,http://mcds.cs.cmu.edu/learn-us-curriculum,40.4446,-79.9429,United States of America,65.7,55,79.5,60.7,78.4,"11,885",11.92,35%,2012
Carnegie Mellon University,Pennsylvania,Pittsburgh,4,"Master of Science in Information Technology, Business Intelligence and Data Analytics (MSIT-BIDA)",M,Heinz College,"Online or 
Campus",30,computer science,http://mcds.cs.cmu.edu/learn-us-curriculum,40.4446,-79.9429,United States of America,71.8,51.4,87,55.9,81.5,"11,885",11.92,35%,2013
